,zero_percentage,mean,median,std,max,min,percentile_25,percentile_75,percentile_90,percentile_95,percentile_99,threshold,n_extreme_values,extreme_percentage,max_value,extreme_mean
SRM: Change was Transmitted -> SRM: In Transfer to Execution Syst.,95.76547231270358,0.09771986970684039,0.0,0.5689929296136372,6,0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.9771986970684038,6.0,4.666666666666667
SRM: In Transfer to Execution Syst. -> Create Purchase Order Item,92.18241042345277,0.1791530944625407,0.0,0.7694038516559474,7,0,0.0,0.0,0.0,1.0,3.9399999999999977,3.9399999999999977,4.0,1.3029315960912053,7.0,5.25
SRM: Ordered -> SRM: In Transfer to Execution Syst.,89.90228013029315,0.20521172638436483,0.0,0.7881302048083986,7,0,0.0,0.0,0.4000000000000341,1.0,4.0,4.0,3.0,0.9771986970684038,7.0,5.666666666666667
Create Purchase Order Item -> SRM: Change was Transmitted,82.08469055374593,0.38762214983713356,0.0,1.138846113898522,11,0,0.0,0.0,1.0,2.0,4.939999999999998,4.939999999999998,4.0,1.3029315960912053,11.0,7.5
SRM: Change was Transmitted -> Record Goods Receipt,95.11400651465797,0.06514657980456026,0.0,0.3167289330109231,3,0,0.0,0.0,0.0,0.0,1.9399999999999977,1.9399999999999977,4.0,1.3029315960912053,3.0,2.25
SRM: Change was Transmitted -> Vendor creates invoice,85.66775244299674,0.31921824104234525,0.0,1.0917345621422716,11,0,0.0,0.0,1.0,2.0,4.939999999999998,4.939999999999998,4.0,1.3029315960912053,11.0,7.5
Record Invoice Receipt -> Record Goods Receipt,27.035830618892508,35.817589576547235,26.0,39.11161274720351,179,0,0.0,51.5,101.40000000000003,126.2999999999999,146.57999999999998,146.57999999999998,4.0,1.3029315960912053,179.0,170.5
Record Invoice Receipt -> Remove Payment Block,27.035830618892508,80.21824104234528,67.0,79.09823415582137,422,0,0.0,120.5,196.80000000000007,223.39999999999998,299.15999999999997,299.15999999999997,4.0,1.3029315960912053,422.0,355.0
Remove Payment Block -> Change Price,97.06840390879479,0.09446254071661238,0.0,0.7415330047419528,9,0,0.0,0.0,0.0,0.0,2.9399999999999977,2.9399999999999977,4.0,1.3029315960912053,9.0,5.75
Change Price -> Clear Invoice,92.83387622149837,0.28664495114006516,0.0,1.617687412039426,21,0,0.0,0.0,0.0,1.0,8.0,8.0,2.0,0.6514657980456027,21.0,15.5
Record Invoice Receipt -> ■,66.44951140065146,24.7557003257329,0.0,77.50527448896138,549,0,0.0,4.0,51.80000000000058,183.2999999999999,411.34,411.34,4.0,1.3029315960912053,549.0,451.75
Vendor creates debit memo -> Cancel Subsequent Invoice,93.81107491856677,0.10749185667752444,0.0,0.5757994406462243,7,0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.9771986970684038,7.0,5.0
Cancel Subsequent Invoice -> Remove Payment Block,93.81107491856677,0.10749185667752444,0.0,0.5466857024711848,6,0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.9771986970684038,6.0,4.666666666666667
Clear Invoice -> Clear Invoice,87.29641693811075,1.1824104234527688,0.0,5.5829411674643366,59,0,0.0,0.0,2.0,6.0,18.819999999999993,18.819999999999993,4.0,1.3029315960912053,59.0,42.75
Change Price -> Remove Payment Block,44.299674267100976,3.58957654723127,1.0,6.581884090905487,63,0,0.0,4.0,10.0,15.0,33.51999999999998,33.51999999999998,4.0,1.3029315960912053,63.0,42.5
Record Invoice Receipt -> Change Price,31.921824104234524,3.547231270358306,2.0,4.701572934744094,46,0,0.0,5.0,9.0,11.699999999999989,17.939999999999998,17.939999999999998,4.0,1.3029315960912053,46.0,27.0
Record Goods Receipt -> Record Goods Receipt,29.31596091205212,8.449511400651465,4.0,12.240504847056645,58,0,0.0,10.0,22.400000000000034,41.0,51.94,51.94,4.0,1.3029315960912053,58.0,55.25
Vendor creates invoice -> Change Quantity,32.89902280130293,3.7231270358306188,2.0,5.715323342440537,48,0,0.0,5.0,8.0,12.0,25.879999999999995,25.879999999999995,4.0,1.3029315960912053,48.0,39.25
Change Quantity -> Record Goods Receipt,27.035830618892508,14.739413680781759,14.0,13.937905373156125,94,0,0.0,22.0,32.0,38.0,57.94,57.94,4.0,1.3029315960912053,94.0,68.25
Delete Purchase Order Item -> ■,25.732899022801302,19.811074918566774,16.0,24.850339113773302,231,0,0.0,27.0,40.0,54.099999999999966,128.0,128.0,3.0,0.9771986970684038,231.0,178.66666666666666
▶ -> Vendor creates invoice,43.32247557003257,6.06514657980456,1.0,13.891585014334074,78,0,0.0,3.0,19.0,44.0,61.81999999999999,61.81999999999999,4.0,1.3029315960912053,78.0,71.75
Vendor creates invoice -> Create Purchase Order Item,45.27687296416938,5.973941368078176,1.0,13.909111079294703,78,0,0.0,3.0,19.0,44.0,61.81999999999999,61.81999999999999,4.0,1.3029315960912053,78.0,71.75
Change Quantity -> Vendor creates invoice,26.384364820846905,11.501628664495113,11.0,10.056498758187365,51,0,0.0,18.0,24.0,28.0,42.879999999999995,42.879999999999995,4.0,1.3029315960912053,51.0,46.0
Record Goods Receipt -> ■,31.596091205211724,10.710097719869706,3.0,19.227669222136875,133,0,0.0,13.0,28.400000000000034,45.69999999999999,92.51999999999998,92.51999999999998,4.0,1.3029315960912053,133.0,117.5
Clear Invoice -> Cancel Invoice Receipt,89.90228013029315,1.1335504885993486,0.0,5.6659527895108415,65,0,0.0,0.0,0.4000000000000341,4.399999999999977,26.75999999999999,26.75999999999999,4.0,1.3029315960912053,65.0,40.5
Cancel Invoice Receipt -> ■,78.82736156351791,1.6384364820846906,0.0,10.357793070243538,165,0,0.0,0.0,3.0,5.0,27.399999999999977,27.399999999999977,4.0,1.3029315960912053,165.0,70.5
Block Purchase Order Item -> ■,91.85667752442997,0.495114006514658,0.0,5.5373782377942975,96,0,0.0,0.0,0.0,1.0,3.9399999999999977,3.9399999999999977,4.0,1.3029315960912053,96.0,29.25
▶ -> Create Purchase Order Item,16.612377850162865,456.557003257329,356.0,387.89099503287184,1240,0,12.5,820.0,952.2000000000005,1033.1,1212.34,1212.34,4.0,1.3029315960912053,1240.0,1229.25
Clear Invoice -> Record Invoice Receipt,65.14657980456026,2.973941368078176,0.0,8.593923893013223,77,0,0.0,1.0,9.400000000000034,17.0,42.879999999999995,42.879999999999995,4.0,1.3029315960912053,77.0,53.0
Change Quantity -> Record Invoice Receipt,75.2442996742671,0.43973941368078173,0.0,1.1904236340920331,11,0,0.0,0.0,1.0,2.0,5.939999999999998,5.939999999999998,4.0,1.3029315960912053,11.0,8.5
Remove Payment Block -> Record Goods Receipt,85.01628664495115,0.6644951140065146,0.0,3.4595907219223903,46,0,0.0,0.0,1.0,2.0,10.879999999999995,10.879999999999995,4.0,1.3029315960912053,46.0,26.0
Record Goods Receipt -> Clear Invoice,83.71335504885994,0.6351791530944625,0.0,3.3583084294053345,45,0,0.0,0.0,1.0,2.0,10.0,10.0,3.0,0.9771986970684038,45.0,30.0
Record Goods Receipt -> Change Price,71.9869706840391,1.244299674267101,0.0,4.05464210860293,37,0,0.0,1.0,2.0,7.0,17.819999999999993,17.819999999999993,4.0,1.3029315960912053,37.0,29.0
Change Price -> Record Invoice Receipt,81.10749185667753,1.286644951140065,0.0,5.731114266266705,48,0,0.0,0.0,1.400000000000034,3.0,35.75999999999999,35.75999999999999,4.0,1.3029315960912053,48.0,42.0
Change Price -> Record Goods Receipt,33.55048859934853,5.302931596091205,2.0,11.916488736031225,162,0,0.0,6.0,11.400000000000034,18.69999999999999,40.94,40.94,4.0,1.3029315960912053,162.0,77.0
Record Invoice Receipt -> Cancel Invoice Receipt,68.40390879478826,3.1107491856677525,0.0,9.617561980902124,82,0,0.0,1.0,9.400000000000034,19.099999999999966,45.75999999999999,45.75999999999999,4.0,1.3029315960912053,82.0,62.75
Cancel Invoice Receipt -> Clear Invoice,61.563517915309454,3.570032573289902,0.0,9.339501515660608,78,0,0.0,1.5,10.400000000000034,25.69999999999999,42.879999999999995,42.879999999999995,4.0,1.3029315960912053,78.0,53.25
Cancel Invoice Receipt -> Record Invoice Receipt,86.31921824104235,1.5407166123778502,0.0,6.993984586758891,75,0,0.0,0.0,1.0,9.699999999999989,36.51999999999998,36.51999999999998,4.0,1.3029315960912053,75.0,53.0
Vendor creates invoice -> Change Price,82.41042345276874,1.482084690553746,0.0,7.701254346902189,86,0,0.0,0.0,1.0,4.0,41.579999999999984,41.579999999999984,4.0,1.3029315960912053,86.0,59.0
Change Price -> Change Price,87.29641693811075,0.4592833876221498,0.0,2.866439253602346,35,0,0.0,0.0,1.0,1.6999999999999886,6.939999999999998,6.939999999999998,4.0,1.3029315960912053,35.0,20.75
Cancel Goods Receipt -> ■,83.71335504885994,0.36156351791530944,0.0,1.551792606156157,17,0,0.0,0.0,1.0,1.6999999999999886,5.0,5.0,3.0,0.9771986970684038,17.0,13.666666666666666
Create Purchase Order Item -> Delete Purchase Order Item,27.035830618892508,16.241042345276874,12.0,22.371504025747104,206,0,0.0,21.0,33.0,42.0,130.67999999999995,130.67999999999995,4.0,1.3029315960912053,206.0,152.0
Create Purchase Order Item -> Change Delivery Indicator,64.82084690553745,0.7328990228013029,0.0,1.662836500781839,18,0,0.0,1.0,2.0,3.0,6.939999999999998,6.939999999999998,4.0,1.3029315960912053,18.0,11.25
Change Delivery Indicator -> ■,66.44951140065146,0.7719869706840391,0.0,1.9063354024138381,15,0,0.0,1.0,2.0,3.0,13.699999999999989,13.699999999999989,4.0,1.3029315960912053,15.0,14.25
Record Goods Receipt -> Cancel Goods Receipt,85.01628664495115,0.22149837133550487,0.0,0.6181833779088769,4,0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,0.6514657980456027,4.0,4.0
Cancel Goods Receipt -> Record Goods Receipt,84.36482084690554,0.22149837133550487,0.0,0.5799991851165838,3,0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,3.0,
Create Purchase Order Item -> Cancel Goods Receipt,61.88925081433225,2.231270358306189,0.0,11.231168669737999,172,0,0.0,1.0,3.0,7.699999999999989,33.94,33.94,4.0,1.3029315960912053,172.0,74.25
Record Invoice Receipt -> Vendor creates debit memo,94.78827361563518,0.10097719869706841,0.0,0.5769814023814678,7,0,0.0,0.0,0.0,0.6999999999999886,2.0,2.0,3.0,0.9771986970684038,7.0,5.0
Record Goods Receipt -> Change Quantity,79.80456026058633,0.2703583061889251,0.0,0.6118659465574143,3,0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,3.0,
Change Quantity -> Change Delivery Indicator,93.48534201954396,0.06514657980456026,0.0,0.24718723820563235,1,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,
Change Delivery Indicator -> Record Invoice Receipt,73.9413680781759,0.3550488599348534,0.0,0.6961605119433419,4,0,0.0,1.0,1.0,2.0,3.0,3.0,2.0,0.6514657980456027,4.0,4.0
Record Invoice Receipt -> Record Invoice Receipt,44.951140065146575,1.739413680781759,1.0,2.5674897422725893,20,0,0.0,2.0,4.400000000000034,7.0,11.939999999999998,11.939999999999998,4.0,1.3029315960912053,20.0,14.5
Change Price -> Vendor creates invoice,31.596091205211724,6.49185667752443,4.0,8.963019456818852,63,0,0.0,9.0,15.400000000000034,24.0,40.879999999999995,40.879999999999995,4.0,1.3029315960912053,63.0,51.5
Block Purchase Order Item -> Delete Purchase Order Item,92.83387622149837,0.2931596091205212,0.0,1.3547491328669554,11,0,0.0,0.0,0.0,1.6999999999999886,8.0,8.0,3.0,0.9771986970684038,11.0,10.0
Change Price -> Change Quantity,72.9641693811075,0.7752442996742671,0.0,3.923905224564496,57,0,0.0,1.0,2.0,3.0,4.939999999999998,4.939999999999998,4.0,1.3029315960912053,57.0,26.0
Vendor creates debit memo -> Vendor creates invoice,66.44951140065146,1.8371335504885993,0.0,5.126458560988364,40,0,0.0,1.0,5.0,10.0,28.75999999999999,28.75999999999999,4.0,1.3029315960912053,40.0,34.25
Create Purchase Order Item -> Record Invoice Receipt,52.44299674267101,3.726384364820847,0.0,7.329102230071552,36,0,0.0,3.0,13.400000000000034,22.69999999999999,31.939999999999998,31.939999999999998,4.0,1.3029315960912053,36.0,34.25
Change Quantity -> Change Quantity,56.67752442996743,1.1530944625407167,0.0,2.276481461376046,23,0,0.0,2.0,3.0,4.0,8.939999999999998,8.939999999999998,4.0,1.3029315960912053,23.0,15.25
Create Purchase Order Item -> Change Quantity,21.824104234527688,21.977198697068403,20.0,19.635971425585318,88,0,2.5,33.0,47.400000000000034,60.0,81.88,81.88,4.0,1.3029315960912053,88.0,85.0
Cancel Goods Receipt -> Cancel Invoice Receipt,87.94788273615634,0.6449511400651465,0.0,4.183026578186464,55,0,0.0,0.0,1.0,1.0,25.91999999999996,25.91999999999996,4.0,1.3029315960912053,55.0,34.25
Vendor creates invoice -> Vendor creates debit memo,67.75244299674267,2.0651465798045603,0.0,5.78161868360645,49,0,0.0,1.0,6.0,12.0,26.879999999999995,26.879999999999995,4.0,1.3029315960912053,49.0,38.75
Vendor creates debit memo -> Record Goods Receipt,77.19869706840392,1.296416938110749,0.0,4.658966356593404,49,0,0.0,0.0,2.400000000000034,7.0,19.939999999999998,19.939999999999998,4.0,1.3029315960912053,49.0,32.25
Record Invoice Receipt -> Change Quantity,81.75895765472313,0.28013029315960913,0.0,0.8001404998933149,9,0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,0.6514657980456027,9.0,6.5
Change Quantity -> Change Price,80.45602605863192,0.3550488599348534,0.0,1.5084724497291389,24,0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,0.9771986970684038,24.0,11.0
Create Purchase Order Item -> Change Price,27.68729641693811,11.9185667752443,9.0,16.47447661197468,169,0,0.0,16.0,26.0,36.099999999999966,76.94,76.94,4.0,1.3029315960912053,169.0,110.25
Record Invoice Receipt -> Vendor creates invoice,51.14006514657981,4.576547231270358,0.0,10.78351306636665,85,0,0.0,4.0,12.0,23.0,58.69999999999999,58.69999999999999,4.0,1.3029315960912053,85.0,70.25
Vendor creates invoice -> Clear Invoice,75.57003257328991,1.4104234527687296,0.0,6.277953604008908,52,0,0.0,0.0,2.0,4.699999999999989,40.879999999999995,40.879999999999995,4.0,1.3029315960912053,52.0,46.75
Record Goods Receipt -> Change Delivery Indicator,81.43322475570032,0.21498371335504887,0.0,0.47764083546922176,2,0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,
Vendor creates debit memo -> Cancel Invoice Receipt,86.31921824104235,1.4071661237785016,0.0,10.216624961455267,166,0,0.0,0.0,1.0,4.699999999999989,26.879999999999995,26.879999999999995,4.0,1.3029315960912053,166.0,64.75
Create Purchase Order Item -> Receive Order Confirmation,27.68729641693811,81.0586319218241,89.0,66.96543212794965,298,0,0.0,124.0,155.80000000000007,183.49999999999994,269.82,269.82,4.0,1.3029315960912053,298.0,279.25
Receive Order Confirmation -> Delete Purchase Order Item,38.11074918566775,3.3061889250814334,1.0,6.189073822038975,73,0,0.0,4.0,8.400000000000034,12.0,25.69999999999999,25.69999999999999,4.0,1.3029315960912053,73.0,41.75
Delete Purchase Order Item -> Reactivate Purchase Order Item,92.18241042345277,0.10423452768729642,0.0,0.45969759566212515,6,0,0.0,0.0,0.0,1.0,1.9399999999999977,1.9399999999999977,4.0,1.3029315960912053,6.0,3.0
Reactivate Purchase Order Item -> Record Goods Receipt,95.76547231270358,0.06514657980456026,0.0,0.4526503953438356,7,0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.6514657980456027,7.0,4.5
Vendor creates invoice -> Change Delivery Indicator,93.15960912052117,0.0749185667752443,0.0,0.28740939444218866,2,0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.6514657980456027,2.0,2.0
Vendor creates debit memo -> Record Invoice Receipt,84.69055374592834,0.7687296416938111,0.0,3.3619262902264704,46,0,0.0,0.0,1.0,4.699999999999989,12.939999999999998,12.939999999999998,4.0,1.3029315960912053,46.0,22.25
Record Goods Receipt -> Cancel Invoice Receipt,92.83387622149837,0.3355048859934853,0.0,2.171143938670811,26,0,0.0,0.0,0.0,1.0,12.519999999999982,12.519999999999982,4.0,1.3029315960912053,26.0,18.0
Record Invoice Receipt -> Change Delivery Indicator,92.18241042345277,0.08794788273615635,0.0,0.3163590206626848,2,0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.9771986970684038,2.0,2.0
Change Delivery Indicator -> Clear Invoice,92.50814332247556,0.0781758957654723,0.0,0.28077727375324324,2,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.32573289902280134,2.0,2.0
Receive Order Confirmation -> Vendor creates invoice,29.31596091205212,22.504885993485342,20.0,22.23733704955673,115,0,0.0,35.0,48.400000000000034,61.099999999999966,103.33999999999997,103.33999999999997,4.0,1.3029315960912053,115.0,108.0
Receive Order Confirmation -> Record Goods Receipt,28.990228013029316,52.36156351791531,52.0,45.87731816192434,226,0,0.0,81.0,112.80000000000007,128.0,168.82,168.82,4.0,1.3029315960912053,226.0,194.75
Create Purchase Order Item -> Vendor creates debit memo,75.8957654723127,1.3029315960912051,0.0,4.348701016163947,36,0,0.0,0.0,3.0,6.0,19.939999999999998,19.939999999999998,4.0,1.3029315960912053,36.0,29.75
Change Approval for Purchase Order -> Vendor creates invoice,95.11400651465797,0.5960912052117264,0.0,5.169011267336409,67,0,0.0,0.0,0.0,0.0,15.699999999999989,15.699999999999989,4.0,1.3029315960912053,67.0,39.75
Change Price -> Delete Purchase Order Item,88.59934853420195,0.254071661237785,0.0,2.143680795810098,37,0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,0.6514657980456027,37.0,20.0
Record Goods Receipt -> Vendor creates debit memo,82.73615635179154,0.511400651465798,0.0,2.41908945336841,34,0,0.0,0.0,1.0,2.0,9.759999999999991,9.759999999999991,4.0,1.3029315960912053,34.0,17.5
Reactivate Purchase Order Item -> Vendor creates invoice,95.11400651465797,0.08469055374592833,0.0,0.7135432291584086,12,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.32573289902280134,12.0,12.0
Update Order Confirmation -> Record Goods Receipt,94.46254071661238,0.0749185667752443,0.0,0.3395348267493588,3,0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.32573289902280134,3.0,3.0
Create Purchase Order Item -> ■,70.03257328990227,7.228013029315961,0.0,24.14756101352246,271,0,0.0,1.0,19.0,42.49999999999994,116.85999999999996,116.85999999999996,4.0,1.3029315960912053,271.0,162.0
Change Quantity -> Delete Purchase Order Item,78.17589576547232,0.34527687296416937,0.0,0.8881953714482431,9,0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,0.9771986970684038,9.0,6.333333333333333
Change Approval for Purchase Order -> Record Goods Receipt,98.37133550488599,0.03257328990228013,0.0,0.3217307520281191,5,0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.6514657980456027,5.0,3.5
Receive Order Confirmation -> Change Quantity,68.07817589576547,0.5472312703583062,0.0,0.9869493940775044,6,0,0.0,1.0,2.0,2.6999999999999886,4.0,4.0,3.0,0.9771986970684038,6.0,5.333333333333333
Create Purchase Order Item -> Block Purchase Order Item,84.69055374592834,0.42996742671009774,0.0,1.5051592099514015,16,0,0.0,0.0,1.0,3.0,7.939999999999998,7.939999999999998,4.0,1.3029315960912053,16.0,10.25
Receive Order Confirmation -> Change Price,89.25081433224756,0.28013029315960913,0.0,1.95363645743133,32,0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,0.9771986970684038,32.0,15.0
Create Purchase Order Item -> Change Approval for Purchase Order,85.34201954397395,3.9120521172638436,0.0,18.842711998230367,198,0,0.0,0.0,2.0,21.69999999999999,87.01999999999992,87.01999999999992,4.0,1.3029315960912053,198.0,144.25
▶ -> Create Purchase Requisition Item,23.452768729641694,115.35504885993485,4.0,191.84282015752984,720,0,1.0,228.5,442.80000000000024,508.79999999999984,646.94,646.94,4.0,1.3029315960912053,720.0,678.75
Create Purchase Requisition Item -> Create Purchase Order Item,23.452768729641694,114.0944625407166,4.0,190.4688595873465,722,0,1.0,217.0,436.4000000000002,506.6999999999999,646.94,646.94,4.0,1.3029315960912053,722.0,679.5
Receive Order Confirmation -> Update Order Confirmation,94.13680781758957,0.07166123778501629,0.0,0.3153142056169076,3,0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.9771986970684038,3.0,2.3333333333333335
Change Quantity -> Receive Order Confirmation,90.22801302931596,0.19543973941368079,0.0,0.7926822497915365,8,0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,0.6514657980456027,8.0,7.0
Vendor creates invoice -> Vendor creates invoice,94.46254071661238,0.0781758957654723,0.0,0.3710248062705062,4,0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.32573289902280134,4.0,4.0
Change Quantity -> ■,84.69055374592834,0.4006514657980456,0.0,1.2753570174338555,8,0,0.0,0.0,1.0,2.0,6.939999999999998,6.939999999999998,4.0,1.3029315960912053,8.0,7.5
Cancel Goods Receipt -> Vendor creates debit memo,85.99348534201955,1.4071661237785016,0.0,10.293742028506237,166,0,0.0,0.0,1.0,3.0,31.69999999999999,31.69999999999999,4.0,1.3029315960912053,166.0,66.5
Create Purchase Order Item -> Change Storage Location,97.39413680781759,0.14332247557003258,0.0,2.0062759464858093,35,0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.9771986970684038,35.0,13.0
Change Storage Location -> Record Goods Receipt,97.39413680781759,0.14332247557003258,0.0,2.0062759464858084,35,0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.9771986970684038,35.0,13.0
Vendor creates invoice -> Receive Order Confirmation,95.11400651465797,0.10097719869706841,0.0,0.5044563074688095,4,0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.6514657980456027,4.0,4.0
Delete Purchase Order Item -> Change Approval for Purchase Order,95.43973941368078,0.758957654723127,0.0,6.7422584185989605,87,0,0.0,0.0,0.0,0.0,10.819999999999993,10.819999999999993,4.0,1.3029315960912053,87.0,52.0
Change Approval for Purchase Order -> ■,93.48534201954396,0.9218241042345277,0.0,7.045167949240934,87,0,0.0,0.0,0.0,1.0,34.49999999999994,34.49999999999994,4.0,1.3029315960912053,87.0,58.25
▶ -> Vendor creates debit memo,97.06840390879479,0.1986970684039088,0.0,2.178984202106706,27,0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.6514657980456027,27.0,27.0
Vendor creates debit memo -> Create Purchase Order Item,97.06840390879479,0.1986970684039088,0.0,2.178984202106706,27,0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.6514657980456027,27.0,27.0
Vendor creates invoice -> Remove Payment Block,95.76547231270358,0.09120521172638436,0.0,0.6750605251771775,8,0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.9771986970684038,8.0,6.0
Change Approval for Purchase Order -> Change Quantity,98.0456026058632,0.48859934853420195,0.0,4.2011164473640985,52,0,0.0,0.0,0.0,0.0,21.099999999999966,21.099999999999966,4.0,1.3029315960912053,52.0,35.0
