,zero_percentage,mean,median,std,max,min,percentile_25,percentile_75,percentile_90,percentile_95,percentile_99,threshold,n_extreme_values,extreme_percentage,max_value,extreme_mean
Insert Fine Notification -> Payment,84.9349825562956,0.8182683158896289,0.0,3.1882989067998917,50,0,0.0,0.0,2.0,5.0,17.0,17.0,29.0,0.9197589597209007,50.0,25.379310344827587
Payment -> Add penalty,71.42404059625753,0.8271487472248652,0.0,1.8024936959306057,16,0,0.0,1.0,3.0,4.0,9.0,9.0,21.0,0.6660323501427212,16.0,11.619047619047619
Payment -> Send Fine,92.45163336504916,0.10307643514113543,0.0,0.42506350622088535,7,0,0.0,0.0,0.0,1.0,2.0,2.0,20.0,0.6343165239454488,7.0,3.6
Notify Result Appeal to Offender -> Appeal to Judge,98.06533460196638,0.02315255312400888,0.0,0.1912670346930187,6,0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.2537266095781795,6.0,2.5
Appeal to Judge -> ■,97.39930225182366,0.0272756105296543,0.0,0.17052313645964556,2,0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.12686330478908975,2.0,2.0
Send Appeal to Prefecture -> Add penalty,97.33587059942911,0.05772280367903584,0.0,0.467705290891267,11,0,0.0,0.0,0.0,0.0,2.0,2.0,21.0,0.6660323501427212,11.0,4.904761904761905
Add penalty -> Receive Result Appeal from Prefecture,96.25753250872185,0.056137012369172214,0.0,0.34310824904360654,7,0,0.0,0.0,0.0,0.0,2.0,2.0,12.0,0.3805899143672693,7.0,3.9166666666666665
Notify Result Appeal to Offender -> Send for Credit Collection,96.57469077069457,0.04376784015223597,0.0,0.26416713655173873,6,0,0.0,0.0,0.0,0.0,1.0,1.0,22.0,0.6977481763399936,6.0,2.3636363636363638
Insert Fine Notification -> Appeal to Judge,94.41801458928005,0.07833809070726293,0.0,0.36747979484293547,5,0,0.0,0.0,0.0,1.0,2.0,2.0,13.0,0.41230574056454167,5.0,3.5384615384615383
Appeal to Judge -> Add penalty,93.33967649857279,0.07833809070726293,0.0,0.317454627036592,4,0,0.0,0.0,0.0,1.0,1.0,1.0,30.0,0.9514747859181731,4.0,2.2333333333333334
Send Fine -> Insert Date Appeal to Prefecture,99.33396764985729,0.0260069774817634,0.0,0.6568333285735253,34,0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.6660323501427212,34.0,3.9047619047619047
Add penalty -> ■,88.32857595940375,1.9682841738027275,0.0,10.247242237922906,162,0,0.0,0.0,1.0,8.0,51.960000000000036,51.960000000000036,32.0,1.014906438312718,162.0,84.4375
Appeal to Judge -> Payment,99.11195686647638,0.011100539169045354,0.0,0.14753847593443062,6,0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.8880431335236283,6.0,1.25
Add penalty -> Appeal to Judge,98.57278782112274,0.016492229622581667,0.0,0.14595041668522815,3,0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.19029495718363465,3.0,2.1666666666666665
Notify Result Appeal to Offender -> ■,99.58769425943545,0.004757373929590866,0.0,0.07749373519597817,2,0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.41230574056454167,2.0,1.1538461538461537
▶ -> Send for Credit Collection,99.8731366952109,0.003805899143672693,0.0,0.11258714787313216,4,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.12686330478908975,4.0,3.0
Receive Result Appeal from Prefecture -> ■,99.30225182366,0.008880431335236283,0.0,0.11230079362835736,2,0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.6977481763399936,2.0,1.2727272727272727
Payment -> Insert Fine Notification,99.36568347605456,0.006343165239454488,0.0,0.07940358401591563,1,0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.6343165239454488,1.0,1.0
▶ -> Payment,99.96828417380273,0.0003171582619727244,0.0,0.01780893769916549,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03171582619727244,1.0,1.0
