,▶ -> ▶,▶ -> Create Fine,Create Fine -> Send Fine,Send Fine -> ■,■ -> ■,Send Fine -> Insert Fine Notification,Insert Fine Notification -> Add penalty,Add penalty -> Send for Credit Collection,Send for Credit Collection -> ■,Add penalty -> Payment,Payment -> ■,Insert Fine Notification -> Insert Date Appeal to Prefecture,Insert Date Appeal to Prefecture -> Add penalty,Add penalty -> Send Appeal to Prefecture,Send Appeal to Prefecture -> ■,Create Fine -> Payment,Payment -> Payment,Add penalty -> Insert Date Appeal to Prefecture,Insert Date Appeal to Prefecture -> Send Appeal to Prefecture,Payment -> Send for Credit Collection,Send Appeal to Prefecture -> Receive Result Appeal from Prefecture,Receive Result Appeal from Prefecture -> Notify Result Appeal to Offender,Notify Result Appeal to Offender -> Payment,Send Fine -> Payment,Insert Fine Notification -> Payment,Payment -> Add penalty,Payment -> Send Fine,Notify Result Appeal to Offender -> Appeal to Judge,Appeal to Judge -> ■,Send Appeal to Prefecture -> Add penalty,Add penalty -> Receive Result Appeal from Prefecture,Notify Result Appeal to Offender -> Send for Credit Collection,Insert Fine Notification -> Appeal to Judge,Appeal to Judge -> Add penalty,Send Fine -> Insert Date Appeal to Prefecture,Add penalty -> ■,Appeal to Judge -> Payment,Add penalty -> Appeal to Judge,Notify Result Appeal to Offender -> ■,▶ -> Send for Credit Collection,Receive Result Appeal from Prefecture -> ■,Payment -> Insert Fine Notification,▶ -> Payment
2002-06-11 00:00:00+00:00,37,37,32,0,13,1,1,1,0,0,13,0,0,0,0,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-06-12 00:00:00+00:00,61,61,32,0,11,1,1,0,0,0,11,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-06-13 00:00:00+00:00,76,76,47,0,10,2,2,0,0,0,10,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-06-14 00:00:00+00:00,93,93,63,0,3,1,1,0,0,0,3,0,0,0,0,13,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-06-15 00:00:00+00:00,104,104,75,0,2,1,2,0,0,0,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-06-16 00:00:00+00:00,41,41,73,0,0,2,2,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-06-17 00:00:00+00:00,42,42,30,0,9,1,210,0,0,0,9,4,0,0,0,11,0,0,0,0,0,0,0,0,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-06-18 00:00:00+00:00,20,20,37,0,15,1,36,0,0,0,15,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-06-19 00:00:00+00:00,44,44,18,0,15,1,25,1,0,0,15,0,0,0,0,2,0,0,2,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-06-20 00:00:00+00:00,30,30,32,0,17,1,5,0,0,0,16,1,0,0,1,12,1,0,1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-06-21 00:00:00+00:00,104,104,23,0,19,1,1,0,0,0,18,0,0,0,1,7,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-06-22 00:00:00+00:00,94,94,78,0,10,2,7,0,0,0,8,0,0,0,2,26,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-06-23 00:00:00+00:00,18,18,80,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-06-24 00:00:00+00:00,39,39,12,0,16,1,2,0,0,0,16,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-06-25 00:00:00+00:00,53,53,34,0,14,1,5,1,0,0,14,0,1,0,0,5,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-06-26 00:00:00+00:00,23,23,43,0,16,0,22,0,0,0,16,0,0,0,0,10,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-06-27 00:00:00+00:00,33,33,22,0,14,1,3,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-06-28 00:00:00+00:00,99,99,30,0,15,0,8,0,0,0,15,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-06-29 00:00:00+00:00,122,122,84,0,3,0,57,1,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-06-30 00:00:00+00:00,46,46,97,0,1,2,31,0,0,0,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-01 00:00:00+00:00,53,53,40,0,17,1,5,2,0,0,17,0,1,0,0,6,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-02 00:00:00+00:00,51,51,41,0,20,1,7,198,0,40,18,0,0,4,2,12,0,2,2,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-03 00:00:00+00:00,45,45,38,0,34,2,7,88,0,28,34,0,1,1,0,13,0,0,0,1,0,0,0,0,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-04 00:00:00+00:00,57,57,31,0,15,0,0,3,0,0,14,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-05 00:00:00+00:00,93,93,42,0,27,0,1,54,0,15,27,0,0,0,0,15,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-06 00:00:00+00:00,232,232,78,0,11,2,2,44,0,12,11,0,0,1,0,15,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-07 00:00:00+00:00,70,70,188,0,2,0,1,27,0,1,2,0,0,1,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-08 00:00:00+00:00,47,47,58,0,33,1,4,6,0,4,33,0,0,0,0,12,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-09 00:00:00+00:00,41,41,38,0,30,2,2,7,0,3,30,0,0,0,0,9,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-10 00:00:00+00:00,26,26,32,0,17,1,1,3,0,0,17,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-11 00:00:00+00:00,61,61,20,0,15,0,0,0,0,0,13,0,0,0,2,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-12 00:00:00+00:00,94,94,42,0,27,1,3,9,0,4,26,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-13 00:00:00+00:00,90,90,78,0,7,1,4,11,0,1,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-14 00:00:00+00:00,28,28,64,0,0,1,1,9,0,2,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-15 00:00:00+00:00,34,34,26,0,25,0,0,23,0,3,25,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-16 00:00:00+00:00,43,43,28,0,19,2,2,69,0,10,19,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-17 00:00:00+00:00,55,55,37,0,21,0,0,42,0,5,21,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-18 00:00:00+00:00,51,51,47,0,21,2,2,13,0,1,21,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-19 00:00:00+00:00,117,117,46,0,20,2,2,17,0,2,20,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-20 00:00:00+00:00,202,202,92,0,7,0,0,3,0,0,7,0,0,0,0,25,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-21 00:00:00+00:00,88,88,162,0,1,3,2,3,0,0,1,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-22 00:00:00+00:00,48,48,74,0,24,1,1,0,0,0,24,0,0,0,0,14,1,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-23 00:00:00+00:00,62,62,35,0,17,1,2,1,0,0,17,0,0,0,0,13,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-24 00:00:00+00:00,45,45,44,0,30,1,2,0,0,0,30,0,0,0,0,18,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-25 00:00:00+00:00,60,60,38,0,17,1,1,0,0,0,17,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-26 00:00:00+00:00,61,61,52,0,25,0,0,1,0,0,25,0,1,0,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-27 00:00:00+00:00,195,195,55,0,8,0,0,0,0,0,8,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-28 00:00:00+00:00,73,73,154,0,1,2,2,1,0,0,1,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-29 00:00:00+00:00,46,46,55,580,609,472,1,0,0,0,27,0,0,0,0,18,1,0,0,0,0,0,0,477,0,2,1,0,0,0,0,0,0,0,34,0,0,0,0,0,2,0,0
2002-07-30 00:00:00+00:00,38,38,37,0,26,0,4,1,0,0,25,0,0,0,1,9,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-31 00:00:00+00:00,39,39,26,0,22,0,0,0,0,1,17,0,0,0,3,12,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2002-08-01 00:00:00+00:00,101,101,32,0,15,2,2,2,0,0,14,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-02 00:00:00+00:00,95,95,87,0,18,0,1,3,0,0,18,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-03 00:00:00+00:00,98,98,83,0,3,0,4,2,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-04 00:00:00+00:00,82,82,75,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-05 00:00:00+00:00,44,44,71,0,18,0,79,1,0,0,17,2,0,0,1,11,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-06 00:00:00+00:00,30,30,36,0,31,0,51,0,0,0,30,2,1,0,1,8,0,0,2,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-07 00:00:00+00:00,41,41,24,0,45,1,24,0,0,0,44,3,0,0,1,6,0,0,5,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-08 00:00:00+00:00,78,78,32,0,37,1,6,1,0,0,36,0,1,0,1,9,0,0,1,1,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-09 00:00:00+00:00,39,39,65,0,33,2,5,1,0,1,33,0,0,0,0,13,1,0,2,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-10 00:00:00+00:00,74,74,30,0,12,1,3,1,0,0,11,1,1,0,1,9,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-11 00:00:00+00:00,71,71,58,0,1,0,0,1,0,0,1,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-12 00:00:00+00:00,78,78,59,0,37,3,6,1,0,1,37,0,0,0,0,12,0,0,1,2,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-13 00:00:00+00:00,53,53,62,0,23,1,1,1,0,0,23,0,1,0,0,16,4,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-14 00:00:00+00:00,186,186,43,0,23,0,0,1,0,1,23,0,0,0,0,10,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-15 00:00:00+00:00,79,79,148,0,0,0,0,2,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-16 00:00:00+00:00,104,104,54,0,16,0,25,179,0,41,14,0,0,3,2,25,0,1,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-17 00:00:00+00:00,119,119,87,0,16,0,82,28,0,8,16,0,0,1,0,17,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-18 00:00:00+00:00,55,55,89,0,0,0,44,25,0,3,0,0,0,0,0,30,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-19 00:00:00+00:00,63,63,41,0,63,0,17,5,0,1,63,1,0,0,0,14,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-20 00:00:00+00:00,47,47,48,0,45,0,31,1,0,0,45,0,0,0,0,15,3,0,2,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-21 00:00:00+00:00,44,44,38,0,34,3,23,5,0,2,34,0,0,0,0,9,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-22 00:00:00+00:00,44,44,33,0,20,0,1,1,0,0,19,4,0,0,1,11,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-23 00:00:00+00:00,67,67,35,0,27,1,3,2,0,0,26,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-24 00:00:00+00:00,93,93,48,0,7,1,2,5,0,0,7,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-25 00:00:00+00:00,49,49,73,0,0,2,2,19,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-26 00:00:00+00:00,45,45,44,0,29,0,1,2,0,1,28,0,0,0,0,5,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2002-08-27 00:00:00+00:00,29,29,37,0,27,0,1,8,0,0,27,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-28 00:00:00+00:00,19,19,25,0,15,0,0,56,0,1,15,0,0,0,0,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-29 00:00:00+00:00,37,37,16,0,19,3,3,31,0,0,19,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-30 00:00:00+00:00,32,32,33,0,27,0,27,4,0,1,21,0,0,0,6,4,2,0,0,0,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-31 00:00:00+00:00,30,30,28,0,7,0,1,7,0,0,7,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09-01 00:00:00+00:00,14,14,22,0,0,0,2,6,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09-02 00:00:00+00:00,32,32,11,0,25,0,3,0,0,0,25,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09-03 00:00:00+00:00,32,32,25,0,22,0,2,1,0,0,22,0,0,0,0,7,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09-04 00:00:00+00:00,33,33,24,0,24,0,0,2,0,0,24,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09-05 00:00:00+00:00,27,27,21,329,347,1125,1,1,0,0,17,0,0,0,1,12,1,0,1,0,0,0,0,294,0,2,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0
2002-09-06 00:00:00+00:00,48,48,25,0,31,1,1,3,0,1,24,0,0,0,7,2,0,0,1,0,0,0,1,0,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2002-09-07 00:00:00+00:00,62,62,43,0,5,2,2,1,0,1,5,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2002-09-08 00:00:00+00:00,44,44,42,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09-09 00:00:00+00:00,31,31,39,0,24,3,3,0,0,0,24,0,0,0,0,5,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09-10 00:00:00+00:00,16,16,29,0,23,1,2,3,0,0,21,0,0,0,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2002-09-11 00:00:00+00:00,20,20,14,0,25,0,483,3,0,1,25,12,0,0,0,2,2,0,2,0,0,0,0,0,39,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2002-09-12 00:00:00+00:00,41,41,19,158,196,436,126,1,0,0,38,5,0,0,0,1,1,0,3,0,0,0,0,176,17,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2002-09-13 00:00:00+00:00,38,38,33,0,38,1,49,0,0,0,36,6,0,0,2,8,2,0,3,0,0,0,0,0,10,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2002-09-14 00:00:00+00:00,51,51,26,0,18,0,29,2,0,0,18,2,0,0,0,12,2,0,0,0,0,0,0,0,4,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2002-09-15 00:00:00+00:00,54,54,31,0,1,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09-16 00:00:00+00:00,23,23,50,0,41,0,24,2,0,0,41,1,0,0,0,4,1,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09-17 00:00:00+00:00,50,50,19,0,24,1,140,0,0,2,24,5,0,0,0,4,1,0,2,0,0,0,0,0,12,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2002-09-18 00:00:00+00:00,43,43,48,0,26,1,74,0,0,0,26,4,0,0,0,2,0,0,2,0,0,0,0,0,10,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2002-09-19 00:00:00+00:00,25,25,40,0,37,1,75,2,0,0,37,3,2,0,0,3,2,0,2,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09-20 00:00:00+00:00,20,20,23,0,28,2,16,1,0,0,28,0,1,0,0,2,0,0,0,0,0,0,0,0,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09-21 00:00:00+00:00,6,6,17,0,12,0,4,2,0,0,12,0,0,0,0,3,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09-22 00:00:00+00:00,60,60,5,0,0,0,34,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09-23 00:00:00+00:00,31,31,57,0,22,1,35,1,0,0,22,1,0,0,0,3,1,0,3,1,0,0,0,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002-09-24 00:00:00+00:00,33,33,27,0,29,2,75,0,0,0,29,2,0,0,0,4,1,0,1,1,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09-25 00:00:00+00:00,43,43,28,0,28,0,44,0,0,0,28,0,0,0,0,5,1,0,1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09-26 00:00:00+00:00,54,54,38,0,19,1,4,1,0,1,19,0,0,0,0,5,1,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09-27 00:00:00+00:00,54,54,38,0,22,2,57,1,0,0,22,1,0,0,0,16,1,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09-28 00:00:00+00:00,8,8,49,0,13,2,18,4,0,0,13,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09-29 00:00:00+00:00,46,46,5,0,1,1,28,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
